AGE,YEARS_OF_EXPERIENCE,CURRENT_SALARY
60,6,124689
39,3,78971
61,27,36679
22,0,53738
32,6,102808
49,13,175126
46,14,100471
44,1,131370
52,21,84304
51,20,119970
63,41,38321
56,6,188886
28,0,63143
37,12,173150
47,23,128929
23,1,130965
22,0,60933
33,3,196997
26,1,59781
58,12,114494
53,28,172375
30,2,55265
62,27,184659
56,11,187342
40,8,136058
37,14,72244
24,0,62198
41,2,88532
45,14,89027
54,6,99561
45,1,142075
32,10,121621
29,0,59498
57,5,132770
59,15,132734
61,10,155221
41,13,44590
56,31,127079
46,15,124989
56,13,151940
46,12,99371
50,28,88914
39,1,105873
39,5,115671
23,1,125843
56,0,92748
37,12,64746
62,16,43634
57,29,162932
54,18,36115
25,3,161718
54,31,160424
35,2,120314
42,6,101276
41,9,191177
29,3,147973
28,0,104592
24,2,93252
38,1,183787
54,20,198729
33,0,161021
43,1,150951
43,18,125594
51,15,198457
59,32,89919
59,33,56990
29,2,199897
48,1,54418
48,16,103942
55,5,85159
42,5,113289
51,2,86276
54,4,87905
49,21,115290
54,15,127752
26,3,195446
40,3,195403
25,1,42987
56,2,150523
38,2,64852
49,13,121050
51,21,141608
50,18,160838
27,4,190754
56,33,55412
62,20,64163
58,16,145011
45,6,40700
50,21,184701
52,22,100887
56,20,70607
54,15,49672
42,8,32463
53,25,176969
44,4,95316
54,19,119611
24,1,186195
39,10,135557
46,24,52053
63,4,43265
52,0,169392
24,1,31382
61,39,70952
45,18,94951
53,6,194345
43,2,85781
44,17,120290
23,0,61754
48,16,189548
63,16,66904
23,0,182041
47,11,43693
38,2,153458
61,15,147354
54,23,118921
30,4,74561
64,10,183869
60,28,68861
50,26,54182
63,34,59103
47,22,158052
56,19,141839
46,19,40973
45,20,119222
34,8,52012
28,0,185335
57,35,101080
41,9,121630
22,0,180623
29,2,85660
37,8,187637
35,1,92581
33,1,197977
44,17,191634
36,2,148512
49,8,82611
55,18,93322
23,0,154994
53,21,111427
44,6,132620
43,21,63818
46,20,108079
43,8,95966
43,16,138702
63,31,139826
27,2,33300
36,14,47040
64,3,37509
58,5,60613
54,27,81368
29,4,160346
26,0,141162
60,0,161294
25,2,137019
27,1,51316
53,16,192799
51,5,136472
56,28,109368
61,35,62134
37,13,74945
34,8,171939
63,0,119812
51,3,160048
40,2,105181
38,4,80817
40,17,75143
49,1,133821
47,11,173167
58,35,84320
47,4,179140
44,13,130257
30,2,53906
33,0,160358
22,0,185941
22,0,51704
55,2,80682
53,22,92094
46,6,37863
61,15,34702
22,0,84431
37,11,162115
60,35,75460
26,3,134786
43,19,185290
50,23,46059
24,0,49274
33,3,198264
47,5,46548
37,5,47555
58,26,35118
43,0,38560
50,5,192995
35,11,41894
49,10,151737
26,3,145218
51,25,107336
26,1,187337
33,4,173096
37,5,114467
47,25,81294
47,22,91218
42,3,164847
60,24,185270
57,2,83301
54,30,158443
51,7,193660
58,12,90675
44,14,86809
31,5,49978
26,2,81356
57,14,58039
55,14,30048
52,0,135313
31,3,114625
40,12,155017
53,21,68064
22,0,161345
26,0,96722
25,2,144162
37,11,193645
45,20,98960
37,12,98689
23,1,174350
49,0,157532
53,7,96588
48,8,198512
41,5,121152
45,18,78501
33,4,64647
56,2,42738
54,6,170790
54,27,104039
64,22,187589
58,20,87656
33,6,133153
24,2,195199
22,0,184064
54,24,85654
61,36,188909
31,3,163889
64,16,37796
50,1,140880
34,11,119840
33,6,191196
52,0,69914
23,0,153503
56,23,104170
44,13,192928
38,2,176571
47,21,110272
29,5,129360
50,19,88766
47,10,174328
31,1,147348
47,23,158743
55,19,89563
62,32,190179
28,2,125364
25,3,154609
32,5,101852
50,12,48996
57,18,195147
46,17,198315
42,4,140448
57,12,160829
31,6,82864
58,24,67397
30,2,192563
45,19,139703
56,19,188607
56,25,198591
57,35,40027
39,0,114332
60,19,69331
53,18,150286
45,6,53149
44,13,121066
53,20,139247
58,29,145371
33,7,196107
34,7,127945
44,21,61695
46,6,85226
56,32,96044
62,30,175979
51,25,66172
38,5,154871
41,2,104398
46,9,191230
43,16,95341
34,10,118004
40,10,182049
57,5,31752
33,3,136626
62,19,123102
40,7,139759
33,3,147988
30,2,177033
28,0,106703
49,1,186375
35,3,170304
52,15,123346
40,2,107071
37,14,122484
26,3,85220
56,12,146463
33,11,159115
46,22,94322
42,12,171300
57,31,33476
44,12,143930
37,7,100126
60,9,113905
63,41,184222
60,0,185651
35,12,194122
52,27,66311
26,0,161644
56,27,162815
44,7,125976
50,5,111765
64,33,93860
32,7,196108
39,1,62163
33,8,121125
30,3,69612
31,1,80080
38,14,48892
59,8,67681
28,6,79514
34,7,144726
61,33,94279
63,35,71500
30,5,62403
48,24,189658
23,1,61092
26,4,36538
50,26,43218
58,32,30724
59,27,175400
40,17,161953
29,7,41503
22,0,139641
43,15,149386
38,14,73146
28,2,136757
46,24,30038
25,1,170321
57,17,149946
27,4,193478
52,15,30736
40,7,188550
60,17,118614
48,14,152032
31,1,141920
47,22,96624
40,9,45671
60,15,123705
24,1,94986
34,5,72856
49,10,194081
41,17,47758
49,2,54800
29,2,144561
62,9,189740
60,14,153308
22,0,95339
24,2,97447
34,2,115959
49,22,72425
46,6,68970
54,4,37203
59,26,119880
27,3,126373
53,21,139499
42,17,101910
37,14,144711
42,13,109716
32,0,182570
58,13,71108
57,26,57919
56,24,161327
40,18,55618
41,0,134107
39,12,133325
62,30,130655
35,0,146386
36,5,135528
52,9,74674
22,0,197632
24,1,64632
37,7,101293
44,15,188192
32,3,77156
33,4,44305
31,6,57146
53,31,131948
37,0,39267
29,6,157669
59,21,143410
33,10,31321
45,21,53523
49,25,79510
29,6,179414
49,23,161234
57,10,77496
47,14,186559
29,2,87247
49,19,141829
49,17,171183
58,1,89357
62,25,80278
57,1,123585
48,2,186517
38,13,138897
30,2,128772
54,29,128383
41,5,108028
34,0,34865
49,8,100466
50,12,56057
34,5,154414
56,13,127092
27,3,144247
39,10,126843
26,2,69515
46,24,131592
23,1,132502
31,4,38569
51,24,130442
26,3,86886
54,16,56860
22,0,62133
39,15,104481
53,1,85050
32,8,92313
42,1,166710
47,11,83467
46,7,32118
43,20,198839
48,2,151758
34,12,73810
54,2,170121
55,1,125657
62,15,69825
56,12,120958
22,0,169668
42,19,55754
27,1,177581
49,7,37744
38,4,59860
26,3,154033
52,21,155845
26,0,59796
59,36,147600
24,0,52777
44,14,189836
58,16,144258
58,23,124528
31,2,145370
31,9,57757
40,3,58491
38,5,37801
42,9,151382
35,1,182333
30,0,44580
22,0,88696
34,9,174506
25,3,169927
22,0,36101
61,12,113326
53,4,149600
55,15,90475
49,3,114945
52,22,169408
29,4,121158
60,38,59236
47,25,177297
55,7,67925
24,2,52904
33,0,148394
22,0,34571
26,4,51319
51,13,44684
51,21,153329
38,11,198639
44,2,32660
36,8,70479
58,21,190427
42,0,161176
35,13,167211
23,1,74217
32,7,36762
60,6,90441
59,27,130465
55,23,73905
59,29,130149
55,9,76050
39,13,162906
51,5,59480
36,11,172913
48,16,55102
55,17,169584
59,34,176847
54,30,119467
45,14,197601
36,6,169452
51,26,134296
63,37,184302
38,8,94181
26,2,114399
50,27,155693
25,1,178145
31,1,121121
38,8,106421
31,7,79178
38,7,194792
41,14,55946
45,18,60396
26,4,32597
55,24,116985
27,2,136931
23,0,142490
34,7,65191
64,20,173544
64,11,123448
32,7,153611
44,6,31822
37,11,41752
52,25,121963
32,4,83744
37,10,92037
29,4,108552
25,2,30979
61,35,176191
25,0,45361
46,16,189560
24,0,197091
53,5,197116
24,0,107061
48,23,161504
50,13,165272
53,31,38630
40,17,194224
42,7,174212
26,3,104666
39,15,100904
49,14,179370
63,1,197627
43,2,159797
42,9,40105
27,1,38163
22,0,138930
26,1,145499
62,19,196545
33,10,141550
47,18,150377
55,23,103171
35,7,37413
47,17,31375
48,16,75683
30,5,155591
47,13,163477
43,17,143481
51,10,117540
64,22,98285
38,14,125173
47,8,49775
57,19,31658
22,0,63345
29,3,151555
56,7,192685
36,11,49598
43,6,77196
35,5,32246
47,3,79070
49,23,193887
44,17,111115
35,12,58855
45,22,136489
23,0,53985
47,6,137165
35,3,69709
28,5,119697
24,1,95521
44,8,37602
64,37,68512
39,16,156608
59,18,179124
56,6,64568
36,13,136938
46,6,112962
58,18,49824
49,7,60842
31,5,58561
60,11,147575
38,9,170485
60,0,167091
43,17,84445
47,4,192517
46,8,192174
38,1,196059
34,0,131696
41,17,166039
46,9,33543
25,1,55914
31,7,195803
24,0,108965
62,0,108684
39,9,175799
57,30,123520
43,15,74017
55,28,151012
29,5,198229
61,11,99930
40,1,123971
63,16,56655
62,30,43529
58,7,61922
27,0,198093
47,12,127003
55,31,46367
27,0,130118
58,36,40777
54,3,82492
43,4,74482
42,4,74992
27,4,54574
27,2,61340
25,0,126724
51,7,95585
32,1,53671
51,17,128922
52,24,92821
45,13,85443
30,3,134145
24,2,145564
52,12,120875
61,28,98684
58,28,48194
57,19,55382
45,18,170369
52,13,75462
27,2,94792
23,0,154839
41,19,110874
49,23,171609
32,1,49491
25,1,78143
36,10,85667
27,1,71689
51,8,52737
59,5,185001
23,0,49709
36,3,68109
32,2,137732
29,1,189992
47,5,194047
26,0,90578
27,3,100943
47,14,85269
25,3,167528
40,9,65401
41,1,49329
54,14,151053
41,9,140909
33,11,102040
22,0,180942
47,22,163565
35,13,193431
59,29,188031
58,4,115341
32,10,160914
57,14,47701
34,4,112634
64,40,112053
24,2,52545
54,12,137820
27,3,164662
31,1,100734
26,4,35738
44,7,147788
31,2,36501
23,1,31654
34,2,176179
61,4,168767
23,0,122603
41,5,173665
22,0,58676
58,36,108548
30,4,37768
38,14,58480
30,1,99859
32,7,106713
36,11,41331
45,9,193075
59,25,122384
56,17,44137
51,16,35683
52,17,191542
26,3,167295
35,7,147711
32,1,83312
30,0,146024
55,27,157851
33,11,159259
56,20,107440
56,16,54705
22,0,91791
61,5,165773
43,7,50471
50,21,45903
29,0,53823
32,10,63706
62,17,136013
58,36,86906
35,0,183952
51,24,60962
56,11,85515
42,15,133132
58,33,174557
26,3,128705
40,8,174293
35,2,114889
47,18,199652
25,3,177819
46,20,101356
63,31,199750
46,2,77203
39,15,103353
61,22,102152
29,6,105286
60,21,32861
61,20,193256
35,10,84457
53,6,151617
59,10,92342
54,21,192208
44,13,199101
36,11,195372
54,31,130353
46,9,150013
38,12,140132
54,2,57619
23,1,36682
35,1,135673
61,20,30837
61,16,76427
60,20,167005
27,0,116877
27,3,40751
24,2,65233
28,6,182537
29,0,48229
63,34,107114
36,7,38113
50,13,198995
54,3,42914
51,6,93787
60,33,120050
48,11,152667
57,31,73035
50,20,179403
59,28,194761
54,3,176186
58,13,136015
48,8,133193
54,8,100178
25,2,196956
43,14,155498
23,1,100895
31,1,57738
26,0,43456
31,9,153862
54,15,165448
59,10,75959
34,4,83237
52,17,66431
57,0,64764
45,17,155061
36,6,179527
50,2,184203
29,3,172646
26,0,185278
50,14,96463
25,0,193647
33,10,89820
23,0,198827
48,15,57120
52,29,117800
57,18,79571
57,32,41760
47,22,151839
64,17,116026
48,13,137555
26,3,148669
41,15,186574
32,3,176357
31,7,126577
61,35,164884
59,9,31936
27,3,120855
29,3,198796
44,19,123768
47,16,175920
64,8,192368
33,1,78703
47,8,127253
34,12,58406
61,26,134197
39,10,49381
46,16,93577
54,17,65954
61,0,193221
64,18,96240
33,11,141715
57,19,133683
25,3,155776
26,1,168573
58,28,136267
29,7,180506
63,22,47934
49,10,47647
52,17,108545
30,8,159963
50,12,166712
35,7,175380
61,20,120441
62,12,64435
43,7,102797
32,9,164443
44,12,32872
22,0,161606
58,26,33780
42,1,36754
47,10,48327
57,30,84040
44,22,113446
22,0,90054
61,24,52625
36,10,167271
42,20,103526
30,2,196914
30,7,168074
31,0,185830
47,4,96313
62,32,175033
56,21,108080
46,3,52896
47,14,85070
32,1,104758
59,33,177622
23,1,93186
28,0,83738
39,4,188497
48,13,100351
55,9,30181
48,2,36403
38,15,108802
64,16,181770
45,10,57430
46,19,93136
28,5,151039
27,3,117445
45,20,66631
54,5,195349
50,27,103262
64,21,140158
43,21,50568
47,17,103470
49,12,91118
42,10,50304
28,5,156502
38,15,93343
41,17,186273
62,2,49502
41,19,106916
43,2,157489
49,7,71157
61,18,175013
28,1,93605
22,0,106669
53,27,119868
34,1,31380
51,24,43233
44,20,32868
40,3,85598
53,28,156497
51,5,52199
50,22,196239
50,9,185043
51,28,114346
37,0,136209
61,2,126592
40,10,67040
39,1,31259
22,0,104458
35,5,109658
23,1,180172
49,13,198751
51,4,98593
59,15,145450
25,3,195284
22,0,167797
29,2,86759
50,5,63125
60,5,150178
24,2,121598
53,24,103012
31,9,98566
31,3,77283
40,15,173127
55,9,46298
54,14,51856
44,14,61982
49,20,127876
53,16,197773
28,3,96727
50,8,33869
29,0,103950
22,0,53510
24,1,78673
45,21,129118
44,17,170361
29,2,59244
58,4,134587
24,1,192630
54,22,98188
49,18,107982
29,4,67793
55,27,198783
56,16,36994
53,29,86088
45,9,50248
35,3,34219
53,24,181598
64,30,117859
37,3,176021
25,1,136472
58,24,82097
42,18,176843
35,5,198327
52,18,171188
39,9,61260
28,5,82836
31,4,142561
28,0,81954
54,25,45603
44,8,55874
42,0,66276
40,18,113650
40,1,80949
57,31,61992
50,26,147895
39,9,184377
23,0,167636
22,0,119056
26,1,189610
41,6,182418
32,9,47260
63,16,114047
23,0,97133
24,2,41149
44,3,149507
33,10,181483
41,1,138726
26,2,102751
58,28,198583
59,2,32820
51,18,154102
30,5,183792
55,8,145087
56,5,157176
43,9,122314
45,10,118105
38,13,187655
31,2,88669
51,6,51577
44,4,105283
53,23,132443
38,16,161681
38,16,139660
35,4,185760
30,2,150117
61,16,101155
23,1,174808
46,9,83761
60,21,35953
30,1,182720
43,14,199821
64,4,192121
25,1,77135
47,24,55394
50,7,55532
55,25,87591
44,17,147029
58,23,48617
32,1,43274
27,3,175004
39,0,93277
42,8,187056
63,34,151130
57,7,197709
62,29,45148
59,23,150840
55,16,143511
38,12,99430
58,23,83143
46,3,102940
59,14,185432
33,7,60565
44,0,142112
63,39,54857
43,17,156019
42,10,184658
48,19,136751
52,7,50277
27,5,39447
48,2,37447
61,29,151018
55,19,56906
33,10,142489
28,3,186730
31,1,112335
38,4,176544
47,1,151625
42,1,123975
49,9,198434
23,1,155056
64,7,35599
22,0,37601
57,15,49286
47,17,49698
50,4,33838
42,12,129294
32,7,112638
61,23,125132
32,10,120734
57,34,54061
60,26,56290
61,37,45129
56,9,49672
55,26,136090
45,20,138707
43,3,171125
26,3,155434
54,26,48179
57,17,122941
41,1,44037
40,11,122629
56,13,72925
64,28,40804
38,14,90530
64,15,174670
55,23,145311
30,1,176025
47,21,61876
23,1,149720
30,8,91467
30,5,114936
61,3,109404
38,12,59272
22,0,197358
46,6,52558
64,7,158319
61,29,156657
63,5,61437
46,21,179896
60,13,101773
56,1,167819
24,0,194321
58,21,156754
51,7,31255
59,8,101267
55,13,38396
33,1,60049
40,17,101034
58,13,171569
38,6,82911
31,3,73642
33,5,137439
37,4,90873
45,19,196980
40,0,47871
29,4,115726
52,27,65048
42,4,189767
38,4,138849
44,17,135929
58,16,146012
37,5,53447
27,0,99156
29,0,87071
46,4,99869
39,0,65737
46,11,54972
33,3,48901
36,9,107460
47,10,162317
62,1,97692
47,5,132467
53,16,171013
31,0,86814
37,4,101408
28,5,177404
38,13,44240
44,16,86653
47,3,187514
42,2,156150
43,15,185722
28,3,88370
35,12,61683
36,5,146105
28,4,199739
30,1,135847
29,7,194602
44,16,131524
50,7,140591
39,1,111039
52,23,74315
51,25,176972
60,33,39725
56,19,43850
39,14,69957
63,41,174769
60,1,53441
38,1,175535
35,7,41013
52,27,132678
45,12,135057
56,27,161258
55,6,166387
24,1,47871
58,28,159787
64,4,178756
61,5,90114
47,10,123148
44,19,62920
60,9,166952
36,1,95776
25,1,102831
50,8,50050
43,19,186492
46,20,69957
34,9,163605
39,17,116683
54,20,35621
37,12,31544
63,38,127552
23,1,152529
56,29,31796
63,32,98998
55,27,75854
51,3,163237
34,12,151564
34,11,96118
39,3,150263
53,13,36864
53,27,171948
56,28,55087
60,14,125215
50,13,69171
50,10,63047
37,14,167273
31,6,31694
51,13,193083
46,23,181383
60,6,94435
41,10,112490
26,3,97400
22,0,125216
51,21,187600
24,1,51992
35,5,93215
51,4,139622
25,3,83420
39,2,80516
58,5,30708
46,2,64694
22,0,155416
36,6,186635
30,1,191991
36,11,129709
45,23,44605
25,2,172467
33,2,79047
58,35,192851
58,3,197740
64,37,113591
27,4,73873
60,35,172397
45,10,132543
32,10,139779
34,1,50753
55,26,121853
46,11,120320
28,6,169236
25,3,66480
29,0,132696
41,9,140971
50,19,190988
31,4,192728
64,22,73872
55,6,81663
47,18,83571
62,32,88402
24,0,187956
27,1,83930
26,3,136867
26,1,60349
44,3,184523
30,5,199652
56,23,87535
41,3,174959
63,17,104918
56,14,85468
39,13,85888
38,0,165248
45,19,94166
24,2,127403
53,17,163145
56,1,58383
59,11,98023
34,4,161613
46,22,148967
30,4,39131
25,2,141139
35,5,64217
58,0,147324
55,11,66569
32,2,80030
62,36,112849
24,2,196196
49,12,181833
50,2,70122
30,2,63344
24,2,35556
46,20,174898
55,1,51726
33,1,46629
63,33,199392
30,3,97906
36,6,80088
61,26,49726
46,14,38098
26,2,155024
32,2,165505
55,23,175982
45,9,120625
36,11,185726
59,20,176605
29,1,184812
26,0,127012
47,4,174407
39,5,199055
27,4,188635
58,3,126516
34,10,173415
49,2,63910
26,2,32711
34,7,115838
38,13,131906
61,31,130493
53,28,84196
50,13,164257
24,1,117294
61,13,126341
55,32,193597
61,7,64993
48,11,169522
34,6,173755
54,7,57688
27,2,160931
45,21,39029
40,18,102837
37,15,45059
61,33,57534
49,21,80003
54,19,90938
62,2,107193
34,3,94046
64,25,185925
46,19,178719
63,3,49227
57,0,193567
48,6,109254
59,19,64848
28,1,82615
26,1,115234
64,16,59775
52,9,65801
44,10,46501
63,7,34222
31,0,104728
53,31,110803
64,27,136987
51,5,95601
60,8,54015
52,12,154190
39,17,143613
57,14,152500
23,1,187380
35,1,123462
34,6,107605
50,27,105444
33,11,172412
60,2,159571
23,1,92270
53,1,188405
34,7,172641
48,2,184867
62,20,110573
38,13,152685
61,36,185548
52,12,148167
55,26,180051
45,9,72852
56,7,60857
27,3,135381
40,0,55648
51,10,93876
28,1,58848
31,9,43614
62,29,183199
53,23,152376
55,5,45618
49,13,74217
36,13,199161
51,3,86463
58,15,62267
50,13,59569
43,18,108901
25,3,90135
41,16,61356
53,5,117657
57,25,36643
25,2,42158
48,23,117234
38,10,175176
33,3,135208
43,10,39133
38,5,99150
31,1,42358
22,0,180314
43,16,157699
47,16,195796
39,6,119373
35,12,149854
50,11,159126
33,5,100561
57,9,89885
56,15,112295
33,1,64322
28,1,186528
50,8,102993
32,3,94744
54,11,97285
27,4,73919
36,2,102222
53,4,108544
32,2,49190
44,20,121646
47,15,190549
55,29,125483
55,28,126602
50,21,103880
25,2,155747
38,10,129927
56,9,153637
34,7,85503
62,4,132593
60,30,40051
36,7,152657
50,20,159294
50,9,52377
32,4,166007
53,3,30343
23,1,127661
35,8,178716
41,2,91472
43,9,127500
32,7,152751
48,14,79753
24,0,186335
38,1,32629
49,11,85992
50,26,165542
42,9,62048
37,2,112142
58,5,192576
41,19,34624
27,4,94317
40,16,47524
26,3,31888
24,1,196357
22,0,196285
59,28,67721
36,14,77743
55,12,63012
56,20,82989
46,19,137964
45,15,107377
33,8,84939
39,4,48251
36,0,83819
37,14,144423
48,3,101685
29,5,164859
46,22,196801
38,2,154931
50,16,40500
29,2,65069
36,0,187672
48,7,158193
28,5,55687
24,1,31347
50,14,105303
45,16,98328
24,2,60939
41,19,69666
36,2,193406
46,11,182885
51,11,42227
35,4,34895
28,3,44529
38,13,89975
41,10,63337
57,3,85495
30,5,145680
59,4,153716
43,10,160633
23,0,184085
45,17,57595
29,6,42429
32,4,115288
34,4,90852
38,4,133394
29,5,140616
42,2,133595
39,4,38621
51,29,174316
39,11,145474
52,9,45379
59,25,45766
53,8,118238
32,9,79261
46,22,53244
54,5,36566
59,19,40230
62,35,61735
29,6,170605
32,10,107053
43,10,45529
45,4,193691
62,33,42313
38,2,97718
33,10,96888
53,27,128171
36,8,141830
37,11,90016
43,0,121665
49,11,134181
41,9,112108
54,11,110951
31,3,54438
61,21,106139
53,31,115074
54,12,93984
23,0,181800
54,8,162984
54,9,46262
62,4,143438
34,4,165141
51,27,37166
54,6,158062
34,8,142682
47,24,106340
43,17,184731
60,33,36687
23,0,154148
59,21,149680
60,8,153011
47,19,65656
36,6,121729
55,9,49496
63,10,50015
61,11,151226
32,9,122604
24,0,41333
27,5,39468
30,7,131010
27,0,59316
30,6,152746
60,23,176663
52,21,192009
53,15,192440
62,28,122864
33,9,124126
29,4,124251
29,7,32985
49,7,159788
41,17,35219
28,1,90643
32,4,32187
41,15,56908
37,6,115882
25,2,54191
27,5,43990
43,18,188421
47,14,123238
24,1,56317
62,18,114659
63,24,144844
35,8,139538
32,8,67406
39,13,61653
33,2,66770
44,6,148389
33,9,109987
34,2,187366
46,8,190526
40,1,179489
57,30,73151
29,5,194242
50,17,41855
53,6,46540
39,16,73740
27,0,136452
39,9,165991
40,2,88264
43,5,113271
58,17,179009
53,28,175274
62,32,143139
24,0,135887
49,26,134806
31,6,193041
56,5,113312
50,7,42942
36,13,197185
54,28,45347
28,2,71997
33,0,134761
51,13,114370
42,1,185685
52,12,71535
45,16,169237
41,11,177523
58,15,125523
25,3,137024
49,2,151754
41,11,92451
45,7,96054
53,1,91904
62,20,122097
57,6,49008
55,21,192347
57,9,180734
23,0,188847
36,0,101138
55,18,87546
57,30,64625
27,5,120970
60,8,169259
63,30,80823
33,7,121592
24,2,193096
39,0,144311
61,5,199014
42,0,67494
36,4,166817
54,13,124763
56,9,120250
47,17,43356
29,6,96040
57,7,113238
51,24,135650
44,9,184302
63,15,86982
35,4,34612
35,1,55536
23,0,37031
58,15,103375
26,3,105135
59,29,109278
62,4,148960
35,1,124075
60,31,167022
46,19,32694
41,17,173018
23,0,140471
60,32,87923
27,4,32390
38,7,190447
46,22,39458
49,4,186598
23,1,158028
56,27,191455
58,0,69078
26,4,100576
22,0,170683
61,15,149508
33,9,184586
57,26,163558
44,5,111841
52,21,121897
32,10,117443
31,1,135989
24,2,84357
35,5,149602
37,2,188456
31,8,114838
50,17,168148
31,8,161936
33,8,46070
51,17,82667
62,1,38744
22,0,192396
26,3,113986
41,1,198012
29,6,139589
64,23,66411
33,4,179404
22,0,174913
41,11,132407
49,25,158124
64,4,141140
58,22,167633
58,15,119699
33,11,197207
58,6,43444
49,24,91785
36,9,138902
27,5,107676
41,10,163241
35,2,135639
23,0,55662
30,5,51720
58,34,92190
41,10,146073
47,20,123103
50,5,123829
22,0,163000
56,30,77360
27,5,122215
58,11,157270
26,1,57552
54,4,183853
35,11,64262
33,7,132884
63,2,35318
41,9,38765
45,6,86037
64,2,167357
55,12,186432
46,1,152336
50,10,106646
60,19,72117
52,16,72254
64,25,119711
44,17,126319
59,30,187478
41,8,119519
44,1,196627
37,6,174805
63,18,120622
29,5,185527
42,1,30039
22,0,50126
29,4,122896
50,3,46678
53,23,145731
59,27,148057
26,3,66406
43,14,137998
55,24,183068
22,0,191026
47,5,159795
64,31,66458
31,7,183336
51,11,149691
39,16,197903
38,8,74684
47,25,122434
29,1,158491
61,27,45443
33,1,33430
48,13,121720
29,2,160161
46,17,52338
25,2,77988
54,20,86652
22,0,105993
40,2,168441
52,10,124509
37,9,41708
35,4,176118
26,3,180041
62,38,109573
47,22,40281
49,13,32609
23,0,58256
27,5,165656
30,7,125894
54,22,30824
62,28,110428
46,1,74840
34,11,184257
30,5,170082
34,9,94926
52,13,86639
62,17,165406
32,10,52393
25,0,124419
55,4,123064
59,25,114798
25,2,177299
59,32,161633
40,5,66779
27,0,171516
55,9,168891
39,14,109955
34,0,112673
62,8,191905
44,2,118912
40,7,107474
32,10,41736
22,0,170180
45,11,39379
28,3,68004
46,18,72576
42,1,83859
36,9,180835
22,0,123262
33,10,147401
28,3,87956
36,5,90970
42,11,187119
40,14,175371
50,24,184557
46,2,40511
54,8,128839
53,23,84968
56,25,116875
59,20,198466
47,20,148170
32,4,193366
56,15,135093
29,1,48961
35,0,198374
31,2,61654
23,1,50673
30,8,76180
24,1,194551
42,17,172533
47,3,109643
29,4,141043
23,1,139336
27,5,33192
49,14,64744
50,6,142106
47,19,104001
